,mlim,BX,BM,u,g,r
0,22.5,0.0,0.0,0.0,0.0,0.0
1,22.6,0.0,0.0,0.0,0.0,0.0
2,22.700000000000003,0.0,0.0,0.0,0.0,0.0
3,22.800000000000004,0.0,0.0,0.0,0.0,0.0
4,22.900000000000006,0.0,0.0,0.0,0.0,0.0
5,23.000000000000007,0.0,0.0,0.0,0.0,0.0
6,23.10000000000001,0.0,0.0,0.0,0.0,0.0
7,23.20000000000001,0.0,0.0,0.0,0.0,0.0
8,23.30000000000001,0.0,0.0,0.0,0.0,0.0
9,23.400000000000013,0.0,0.0,0.0,1.0,0.0
10,23.500000000000014,0.0,0.0,0.0,1.0,0.0
11,23.600000000000016,117.0,27.0,0.0,1.0,0.0
12,23.700000000000017,228.0,57.0,1.0,1.0,0.0
13,23.80000000000002,335.0,95.0,1.0,1.0,0.0
14,23.90000000000002,476.0,128.0,1.0,1.0,0.0
15,24.00000000000002,640.0,178.0,1.0,1.0,0.0
16,24.100000000000023,796.0,233.0,2.0,1.0,0.0
17,24.200000000000024,980.0,292.0,2.0,1.0,0.0
18,24.300000000000026,1134.0,357.0,2.0,1.0,0.0
19,24.400000000000027,1314.0,421.0,3.0,1.0,0.0
20,24.50000000000003,1525.0,506.0,6.0,1.0,0.0
21,24.60000000000003,1704.0,573.0,10.0,1.0,0.0
22,24.70000000000003,1921.0,678.0,11.0,1.0,0.0
23,24.800000000000033,2159.0,778.0,12.0,2.0,0.0
24,24.900000000000034,2394.0,882.0,15.0,3.0,0.0
25,25.000000000000036,2627.0,965.0,19.0,3.0,0.0
26,25.100000000000037,2867.0,1076.0,25.0,3.0,0.0
27,25.20000000000004,3114.0,1207.0,35.0,3.0,0.0
28,25.30000000000004,3399.0,1323.0,51.0,4.0,0.0
29,25.40000000000004,3670.0,1445.0,71.0,5.0,0.0
30,25.500000000000043,3922.0,1570.0,92.0,6.0,0.0
31,25.600000000000044,4178.0,1687.0,125.0,8.0,0.0
32,25.700000000000045,4442.0,1808.0,163.0,10.0,0.0
33,25.800000000000047,4712.0,1950.0,213.0,15.0,0.0
34,25.90000000000005,4980.0,2089.0,280.0,23.0,0.0
