,mlim,BX,BM,u,g,r
0,22.5,0.0,0.0,81.0,12.0,0.0
1,22.6,0.0,0.0,95.0,17.0,0.0
2,22.700000000000003,0.0,0.0,108.0,18.0,0.0
3,22.800000000000004,0.0,0.0,118.0,21.0,0.0
4,22.900000000000006,0.0,0.0,132.0,24.0,0.0
5,23.000000000000007,0.0,0.0,153.0,29.0,0.0
6,23.10000000000001,0.0,0.0,170.0,30.0,0.0
7,23.20000000000001,0.0,0.0,187.0,43.0,0.0
8,23.30000000000001,0.0,0.0,207.0,52.0,0.0
9,23.400000000000013,0.0,0.0,229.0,59.0,0.0
10,23.500000000000014,0.0,0.0,253.0,67.0,0.0
11,23.600000000000016,128.0,34.0,287.0,73.0,0.0
12,23.700000000000017,258.0,74.0,310.0,78.0,0.0
13,23.80000000000002,387.0,104.0,331.0,91.0,0.0
14,23.90000000000002,539.0,163.0,368.0,98.0,0.0
15,24.00000000000002,680.0,229.0,398.0,108.0,0.0
16,24.100000000000023,823.0,282.0,437.0,123.0,0.0
17,24.200000000000024,959.0,342.0,481.0,136.0,0.0
18,24.300000000000026,1106.0,414.0,530.0,150.0,0.0
19,24.400000000000027,1266.0,498.0,574.0,167.0,0.0
20,24.50000000000003,1443.0,587.0,633.0,178.0,0.0
21,24.60000000000003,1599.0,692.0,683.0,203.0,0.0
22,24.70000000000003,1792.0,774.0,733.0,220.0,0.0
23,24.800000000000033,1968.0,871.0,809.0,240.0,0.0
24,24.900000000000034,2160.0,945.0,872.0,257.0,0.0
25,25.000000000000036,2325.0,1036.0,931.0,279.0,0.0
26,25.100000000000037,2512.0,1149.0,989.0,303.0,0.0
27,25.20000000000004,2697.0,1268.0,1060.0,339.0,0.0
28,25.30000000000004,2890.0,1383.0,1145.0,365.0,0.0
29,25.40000000000004,3052.0,1497.0,1242.0,406.0,0.0
30,25.500000000000043,3239.0,1628.0,1337.0,432.0,0.0
31,25.600000000000044,3446.0,1723.0,1418.0,468.0,0.0
32,25.700000000000045,3648.0,1835.0,1517.0,512.0,0.0
33,25.800000000000047,3870.0,1970.0,1630.0,559.0,0.0
34,25.90000000000005,4120.0,2109.0,1751.0,606.0,0.0
