# Growth factors vs. redshift.
# OmM=0.300000, OmB=0.048000, hub=0.680000
# ns=0.970000, A_s=2.135305e-09, sig8=0.820000
#   z     D(z)     f(z)
 0.00   1.0000   0.5128
 0.25   0.8784   0.6482
 0.50   0.7732   0.7491
 0.75   0.6850   0.8201
 1.00   0.6119   0.8690
 1.25   0.5512   0.9028
 1.50   0.5005   0.9264
 1.75   0.4579   0.9431
 2.00   0.4215   0.9552
 2.25   0.3904   0.9641
 2.50   0.3634   0.9708
 2.75   0.3398   0.9759
 3.00   0.3190   0.9799
 3.25   0.3006   0.9830
 3.50   0.2841   0.9854
 3.75   0.2694   0.9874
 4.00   0.2560   0.9890
 4.25   0.2440   0.9903
 4.50   0.2330   0.9913
 4.75   0.2229   0.9922
 5.00   0.2137   0.9930
 5.25   0.2052   0.9936
 5.50   0.1974   0.9941
 5.75   0.1901   0.9945
 6.00   0.1834   0.9949
 6.25   0.1771   0.9952
 6.50   0.1712   0.9955
 6.75   0.1657   0.9957
 7.00   0.1605   0.9959
 7.25   0.1557   0.9961
 7.50   0.1511   0.9962
 7.75   0.1468   0.9964
 8.00   0.1428   0.9965
 8.25   0.1389   0.9965
 8.50   0.1353   0.9966
 8.75   0.1318   0.9967
 9.00   0.1285   0.9967
 9.25   0.1254   0.9968
 9.50   0.1224   0.9968
