# Zeldovich correlation function.
# Using f=0.956 and P(k) from pklin_z202.txt
# Density functions smoothed with tophat R=0
# r[Mpc/h]     r^2.xiL       xir:1      xir:b1      xir:b2    xir:b1^2   xir:b1.b2    xir:b2^2    xir:Aeft     xir:n2L      xir:bs   xir:b1.bs   xir:b2.bs    xir:bs^2       xi0:1      xi0:b1      xi0:b2    xi0:b1^2   xi0:b1.b2    xi0:b2^2    xi0:Aeft     xi0:n2L      xi0:bs   xi0:b1.bs   xi0:b2.bs    xi0:bs^2       xi2:1      xi2:b1      xi2:b2    xi2:b1^2   xi2:b1.b2    xi2:b2^2    xi2:Aeft     xi2:n2L      xi2:bs   xi2:b1.bs   xi2:b2.bs    xi2:bs^2       xi4:1      xi4:b1      xi4:b2    xi4:b1^2   xi4:b1.b2    xi4:b2^2    xi4:Aeft     xi4:n2L      xi4:bs   xi4:b1.bs   xi4:b2.bs    xi4:bs^2
      0.00   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000
      0.50   0.4112278   0.5522249   1.4239568   0.4189344   1.0837331   0.9631486   0.3752045  -0.6834952   0.1155036  -0.1191772  -0.1400082   0.1029350   0.1638324   0.6312049   1.2555691   0.2251663   0.8232068   0.7662630   0.3281677  -0.7178146   0.0981330  -0.1507520  -0.1117166   0.0906110   0.1435820   0.0713264   0.2526917   0.1118056   0.2472793   0.3741719   0.1399235  -1.0764441   0.0171601  -0.0355930  -0.0451882   0.0253538   0.0568504   0.0151498   0.0623690   0.0346074   0.0688180   0.1268117   0.0430043  -0.6339647   0.0035420  -0.0136859  -0.0140601   0.0067581   0.0171433
      1.00   0.9570243   1.1498457   2.7182750   0.5673364   1.8047908   1.1086869   0.4580216  -0.1158542   0.2287611  -0.1119012  -0.1835258   0.1700031   0.2147698   1.6480117   3.0260516   0.4724421   1.7204681   1.1452394   0.4414226  -0.4750893   0.2108219  -0.2122010  -0.1883680   0.1669609   0.2082619   0.1297014   0.6428496   0.3707005   0.6071897   0.6207738   0.1725787  -0.6504592   0.0417949   0.0224549  -0.0850926   0.0408030   0.0731246   0.0433395   0.2130231   0.1556420   0.2196070   0.2545845   0.0518812  -0.5020515   0.0095037  -0.0103365  -0.0326590   0.0112274   0.0216613
      1.50   1.5003589   1.6489062   3.6871866   0.5135356   2.2484577   1.0374679   0.4811207   0.0203066   0.2987738  -0.1060771  -0.1877630   0.2190572   0.2394958   2.6566009   4.6191962   0.5930464   2.3944786   1.2353747   0.4758108  -0.2908878   0.2777765  -0.2268065  -0.2203636   0.2212890   0.2387866  -0.0229401   0.6696634   0.5022259   0.7247299   0.5655143   0.1548705  -0.0689813   0.0533355   0.1357988  -0.0827877   0.0394329   0.0664058   0.0363928   0.2923240   0.2573761   0.3120362   0.2610528   0.0397908  -0.1941479   0.0088982   0.0080226  -0.0362629   0.0094135   0.0168641
      2.00   2.0155650   2.1024479   4.5468837   0.4335018   2.6299382   0.9389230   0.4825715   0.0289209   0.3240519  -0.1064661  -0.1823670   0.2586810   0.2539489   3.5809708   5.9884650   0.6259444   2.9072076   1.1993558   0.4793893  -0.1732202   0.3002350  -0.2236345  -0.2280859   0.2617837   0.2543749  -0.3957694   0.3076563   0.4719423   0.6194378   0.3702553   0.1284709   0.3496349   0.0604182   0.2443969  -0.0558806   0.0312017   0.0543696  -0.0126558   0.2502453   0.2854356   0.3079566   0.1911105   0.0247587   0.0544423   0.0035810   0.0199916  -0.0278782   0.0048355   0.0101383
      2.50   2.4953307   2.5256228   5.3491509   0.3628045   2.9892149   0.8397381   0.4726955   0.0206299   0.3104989  -0.1071924  -0.1731736   0.2911225   0.2623645   4.4106606   7.1644229   0.6054710   3.3121753   1.1094550   0.4691450  -0.0960115   0.2891718  -0.2136084  -0.2228220   0.2930377   0.2623284  -0.9243863  -0.3058622   0.3388906   0.3947847   0.1457642   0.1057455   0.5904426   0.0691437   0.3274269  -0.0209794   0.0220016   0.0432408  -0.0802922   0.1299945   0.2531734   0.2402970   0.1008658   0.0132411   0.1868569  -0.0013129   0.0176554  -0.0150762   0.0002942   0.0046326
      3.00   2.9386127   2.9206061   6.0995376   0.3022400   3.3275435   0.7439671   0.4564608   0.0150622   0.2707775  -0.1065659  -0.1618024   0.3176078   0.2667994   5.1535182   8.1857451   0.5546062   3.6447329   0.9994785   0.4523277  -0.0453092   0.2569795  -0.2015346  -0.2107404   0.3176884   0.2659643  -1.5402168  -1.0362843   0.1618976   0.1326983  -0.0580824   0.0887882   0.7026577   0.0788551   0.3834109   0.0129695   0.0142459   0.0345626  -0.1402298  -0.0086787   0.1925622   0.1517318   0.0213092   0.0060842   0.2242663  -0.0030777   0.0032353  -0.0029452  -0.0030246   0.0010349
      3.50   3.3458815   3.2879212   6.7982568   0.2493308   3.6434398   0.6532320   0.4367608   0.0126112   0.2186728  -0.1045673  -0.1491791   0.3390957   0.2685169   5.8218319   9.0864476   0.4887940   3.9282071   0.8858275   0.4324161  -0.0129227   0.2144983  -0.1894684  -0.1953168   0.3373515   0.2669767  -2.1908689  -1.7896253  -0.0198519  -0.1183920  -0.2249347   0.0767768   0.7335859   0.0864304   0.4172535   0.0422451   0.0085820   0.0282882  -0.1755597  -0.1240221   0.1291154   0.0710202  -0.0370589   0.0023476   0.2039037  -0.0016443  -0.0179242   0.0063631  -0.0049330  -0.0009113
      4.00   3.7189566   3.6284367   7.4465738   0.2025670   3.9368835   0.5685339   0.4153613   0.0118146   0.1651528  -0.1015013  -0.1359739   0.3563788   0.2683456   6.4273264   9.8928937   0.4180421   4.1777057   0.7762898   0.4112124   0.0069116   0.1698045  -0.1781246  -0.1785181   0.3530786   0.2663043  -2.8420077  -2.5104729  -0.1847728  -0.3349369  -0.3537282   0.0683720   0.7174455   0.0894772   0.4349256   0.0658920   0.0049043   0.0239376  -0.1797996  -0.1967543   0.0768761   0.0114541  -0.0744303   0.0008542   0.1563337   0.0017586  -0.0409876   0.0125049  -0.0056669  -0.0016866
      4.50   4.0600160   3.9433570   8.0466690   0.1611129   4.2087132   0.4903624   0.3933569   0.0117760   0.1170418  -0.0976612  -0.1226566   0.3701149   0.2668443   6.9796000  10.6240940   0.3483881   4.4026874   0.6742484   0.3897032   0.0184330   0.1280455  -0.1676140  -0.1614420   0.3655972   0.2645025  -3.4738387  -3.1715466  -0.3233783  -0.5088244  -0.4493212   0.0624080   0.6767842   0.0873395   0.4416213   0.0842237   0.0028473   0.0209982  -0.1539125  -0.2239482   0.0408756  -0.0242068  -0.0950579   0.0006629   0.1013019   0.0056963  -0.0626982   0.0159602  -0.0055692  -0.0017286
      5.00   4.3715041   4.2340385   8.6010873   0.1244036   4.4600640   0.4188166   0.3714307   0.0120644   0.0774187  -0.0932815  -0.1095405   0.3808471   0.2644002   7.4859934  11.2931857   0.2831214   4.6088719   0.5808521   0.3684499   0.0246770   0.0918819  -0.1578217  -0.1446851   0.3754388   0.2619202  -4.0767595  -3.7636699  -0.4335266  -0.6405223  -0.5181146   0.0580253   0.6256383   0.0808003   0.4413051   0.0980286   0.0020081   0.0190446  -0.1029188  -0.2117723   0.0207838  -0.0387597  -0.1038804   0.0011343   0.0496491   0.0090846  -0.0813073   0.0174456  -0.0049544  -0.0013625
      5.50   4.6554298   4.5018752   9.1124499   0.0919768   4.6921266   0.3537412   0.3500071   0.0124800   0.0467367  -0.0885434  -0.0968324   0.3890236   0.2612865   7.9519716  11.9090746   0.2237546   4.7996234   0.4961584   0.3477788   0.0277234   0.0621781  -0.1485845  -0.1285616   0.3830102   0.2587881  -4.6476384  -4.2881333  -0.5170376  -0.7346546  -0.5661848   0.0546366   0.5722521   0.0713674   0.4367791   0.1081870   0.0020337   0.0177567  -0.0333272  -0.1700462   0.0137637  -0.0371406  -0.1051424   0.0018748   0.0062459   0.0113463  -0.0961640   0.0176341  -0.0040646  -0.0008051
      6.00   4.9138087   4.7482410   9.5833294   0.0634179   4.9060556   0.2948306   0.3293431   0.0129253   0.0239891  -0.0835860  -0.0846684   0.3950158   0.2576993   8.3816076  12.4778240   0.1707301   4.9768968   0.4197287   0.3278794   0.0289336   0.0386887  -0.1397616  -0.1132291   0.3886363   0.2552657  -5.1870613  -4.7514902  -0.5775077  -0.7973599  -0.5986264   0.0518597   0.5210998   0.0606369   0.4299153   0.1155031   0.0026434   0.0169067   0.0484558  -0.1089225   0.0162578  -0.0244829  -0.1020224   0.0026611  -0.0275767   0.0123482  -0.1072975   0.0170568  -0.0030664  -0.0001904
      6.50   5.1485937   4.9744630  10.0161970   0.0383454   5.1029543   0.2416996   0.3095885   0.0133544   0.0076056  -0.0785166  -0.0731348   0.3991379   0.2537821   8.7780069  13.0036839   0.1238977   5.1418483   0.3509317   0.3088570   0.0291588   0.0206080  -0.1312544  -0.0987589   0.3925845   0.2514677  -5.6974771  -5.1623039  -0.6190171  -0.8348430  -0.6194449   0.0494538   0.4743067   0.0499110   0.4219041   0.1206452   0.0036252   0.0163375   0.1369358  -0.0372104   0.0249339  -0.0052004  -0.0966974   0.0033788  -0.0523492   0.0122518  -0.1150968   0.0160921  -0.0020643   0.0004057
      7.00   5.3617035   5.1818068  10.4134011   0.0164078   5.2838572   0.1939274   0.2908211   0.0137438  -0.0040038  -0.0734180  -0.0622806   0.4016568   0.2496403   9.1436300  13.4897947   0.0828158   5.2952104   0.2890912   0.2907644   0.0289056   0.0069444  -0.1230035  -0.0851745   0.3950806   0.2474785  -6.1820452  -5.5292920  -0.6454420  -0.8526756  -0.6316742   0.0472725   0.4326098   0.0400574   0.4134658   0.1241388   0.0048236   0.0159433   0.2278179   0.0382364   0.0370845   0.0173142  -0.0905511   0.0039781  -0.0694179   0.0113595  -0.1200973   0.0149890  -0.0011179   0.0009445
      7.50   5.5547632   5.3714711  10.7771601  -0.0027176   5.4497361   0.1510859   0.2730718   0.0140831  -0.0121870  -0.0683534  -0.0521271   0.4028010   0.2453524   9.4805157  13.9386391   0.0469303   5.4375082   0.2335530   0.2736195   0.0284593  -0.0032632  -0.1149801  -0.0724723   0.3963183   0.2433617  -6.6439807  -5.8603920  -0.6601476  -0.8555387  -0.6375622   0.0452293   0.3959803   0.0315300   0.4050113   0.1263833   0.0061281   0.0156544   0.3179922   0.1125325   0.0507124   0.0406680  -0.0843971   0.0044457  -0.0803483   0.0099972  -0.1228536   0.0138986  -0.0002573   0.0014099
      8.00   5.7291862   5.5445854  11.1095631  -0.0193254   5.6015035   0.1127560   0.2563404   0.0143696  -0.0179753  -0.0633707  -0.0426757   0.4027672   0.2409773   9.7904279  14.3523163   0.0156715   5.5691779   0.1837116   0.2574175   0.0279690  -0.0108421  -0.1071751  -0.0606332   0.3964652   0.2391658  -7.0862236  -6.1623898  -0.6659011  -0.8472030  -0.6387539   0.0432756   0.3640115   0.0244655   0.3967568   0.1276762   0.0074617   0.0154256   0.4053727   0.1824870   0.0644609   0.0633073  -0.0786667   0.0047871  -0.0866182   0.0084437  -0.1238731   0.0129027   0.0005057   0.0017991
      8.50   5.8864197   5.7022119  11.4125735  -0.0336830   5.7400143   0.0785378   0.2406065   0.0146040  -0.0221074  -0.0585063  -0.0339144   0.4017239   0.2365594  10.0749469  14.7327012  -0.0114970   5.6906250   0.1390177   0.2421387   0.0275038  -0.0164566  -0.0995912  -0.0496294   0.3956669   0.2349283  -7.5113063  -6.4408631  -0.6648994  -0.8306228  -0.6364482   0.0413856   0.3361479   0.0187966   0.3888007   0.1282369   0.0087727   0.0152281   0.4886844   0.2462361   0.0774860   0.0843185  -0.0735499   0.0050166  -0.0894870   0.0069016  -0.1235883   0.0120379   0.0011703   0.0021162
      9.00   6.0277834   5.8453467  11.6880339  -0.0460327   5.8660702   0.0480556   0.2258367   0.0147886  -0.0250905  -0.0537868  -0.0258220   0.3998166   0.2321322  10.3355242  15.0815309  -0.0350591   5.8022508   0.0989766   0.2277534   0.0270892  -0.0206161  -0.0922368  -0.0394279   0.3940508   0.2306778  -7.9213313  -6.7002818  -0.6588466  -0.8080707  -0.6315193   0.0395472   0.3118107   0.0143490   0.3811740   0.1282275   0.0100273   0.0150440   0.5672555   0.3028818   0.0893211   0.1032422  -0.0690935   0.0051510  -0.0899615   0.0054955  -0.1223508   0.0113125   0.0017412   0.0023685
      9.50   6.1544849   5.9749222  11.9376724  -0.0565932   5.9804224   0.0209605   0.2119898   0.0149272  -0.0272645  -0.0492313  -0.0183720   0.3971709   0.2277209  10.5735139  15.4004480  -0.0554412   5.9044601   0.0631440   0.2142256   0.0267281  -0.0236997  -0.0851222  -0.0299926   0.3917281   0.2264369  -8.3180052  -6.9441711  -0.6490455  -0.7812748  -0.6246090   0.0377559   0.2904618   0.0109105   0.3738713   0.1277680   0.0112045   0.0148626   0.6408376   0.3521871   0.0997596   0.1199219  -0.0652667   0.0052073  -0.0888118   0.0042860  -0.1204373   0.0107190   0.0022262   0.0025644
     10.00   6.2675681   6.0918117  12.1631090  -0.0655616   6.0837763  -0.0030694   0.1990200   0.0150234  -0.0288554  -0.0448532  -0.0115342   0.3938954   0.2233445  10.7901909  15.6910221  -0.0730160   5.9976615   0.0311203   0.2015157   0.0264132  -0.0259849  -0.0782571  -0.0212864   0.3887965   0.2222229  -8.7026942  -7.1752846  -0.6364841  -0.7515404  -0.6161929   0.0360113   0.2716292   0.0082730   0.3668695   0.1269487   0.0122923   0.0146779   0.7094633   0.3943364   0.1087622   0.1343887  -0.0620010   0.0052008  -0.0866071   0.0032882  -0.1180605   0.0102424   0.0026344   0.0027122
     10.50   6.3679888   6.1968316  12.3658618  -0.0731150   6.1767940  -0.0243289   0.1868796   0.0150815  -0.0300147  -0.0406611  -0.0052764   0.3900848   0.2190175  10.9867612  15.9547574  -0.0881077   6.0822641   0.0025456   0.1895824   0.0261340  -0.0276730  -0.0716496  -0.0132714   0.3853415   0.2180490  -9.0764849  -7.3957635  -0.6219089  -0.7198510  -0.6066282   0.0343152   0.2549132   0.0062539   0.3601385   0.1258380   0.0132848   0.0144865   0.7733399   0.4297625   0.1163894   0.1467806  -0.0592150   0.0051448  -0.0837568   0.0024898  -0.1153803   0.0098648   0.0029749   0.0028196
     11.00   6.4566866   6.2907462  12.5473534  -0.0794124   6.2600966  -0.0430874   0.1755204   0.0151050  -0.0308462  -0.0366597   0.0004344   0.3858210   0.2147503  11.1643673  16.1930958  -0.1009992   6.1586732  -0.0229047   0.1783836   0.0258801  -0.0289094  -0.0653053  -0.0059096   0.3814386   0.2139256  -9.4402399  -7.6072707  -0.6058851  -0.6869479  -0.5961869   0.0326697   0.2399816   0.0047035   0.3536474   0.1244888   0.0141800   0.0142872   0.8327732   0.4590247   0.1227545   0.1572880  -0.0568272   0.0050506  -0.0805477   0.0018644  -0.1125156   0.0095682   0.0032562   0.0028933
     11.50   6.5346235   6.3742691  12.7089166  -0.0845964   6.3342686  -0.0595901   0.1648949   0.0150977  -0.0314227  -0.0328510   0.0056315   0.3811760   0.2105510  11.3240922  16.4074174  -0.1119380   6.2272873  -0.0455243   0.1678775   0.0256422  -0.0298000  -0.0592278   0.0008363   0.3771540   0.2098604  -9.7946457  -7.8111003  -0.5888419  -0.6533903  -0.5850795   0.0310774   0.2265614   0.0035048   0.3473668   0.1229425   0.0149790   0.0140796   0.8881161   0.4827306   0.1279936   0.1661189  -0.0547632   0.0049275  -0.0771765   0.0013815  -0.1095535   0.0093363   0.0034861   0.0029393
     12.00   6.6024673   6.4480689  12.8518010  -0.0887947   6.3998587  -0.0740595   0.1549569   0.0150632  -0.0317973  -0.0292346   0.0103476   0.3762122   0.2064251  11.4669623  16.5990406  -0.1211415   6.2884942  -0.0655790   0.1580236   0.0254132  -0.0304223  -0.0534181   0.0070029   0.3725462   0.2058592 -10.1402519  -8.0082626  -0.5711074  -0.6196020  -0.5734715   0.0295403   0.2144291   0.0025690   0.3412708   0.1212327   0.0156847   0.0138643   0.9397347   0.5014858   0.1322471   0.1734788  -0.0529585   0.0047831  -0.0737746   0.0010114  -0.1065568   0.0091547   0.0036716   0.0029624
     12.50   6.6609008   6.5127706  12.9771773  -0.0921216   6.4573829  -0.0866977   0.1456622   0.0150042  -0.0320097  -0.0258083   0.0146146   0.3709843   0.2023765  11.5939499  16.7692224  -0.1288019   6.3426701  -0.0833097   0.1487822   0.0251876  -0.0308337  -0.0478753   0.0126257   0.3676666   0.2019262 -10.4775019  -8.1995503  -0.5529344  -0.5859044  -0.5614946   0.0280600   0.2034017   0.0018300   0.3353367   0.1193863   0.0163009   0.0136420   0.9879874   0.5158658   0.1356485   0.1795594  -0.0513586   0.0046236  -0.0704271   0.0007284  -0.1035705   0.0090113   0.0038186   0.0029669
     13.00   6.7106085   6.5689579  13.0861438  -0.0946794   6.5073270  -0.0976875   0.1369685   0.0149241  -0.0320904  -0.0225685   0.0184631   0.3655402   0.1984079  11.7059750  16.9191593  -0.1350896   6.3901774  -0.0989350   0.1401157   0.0249614  -0.0310776  -0.0425968   0.0177392   0.3625606   0.1980644 -10.8067578  -8.3855881  -0.5345189  -0.5525418  -0.5492554   0.0266374   0.1933290   0.0012394   0.3295455   0.1174259   0.0168324   0.0134138   1.0332132   0.5264015   0.1383194   0.1845332  -0.0499188   0.0044537  -0.0671872   0.0005115  -0.1006260   0.0088960   0.0039326   0.0029563
     13.50   6.7523484   6.6171785  13.1797301  -0.0965594   6.5501475  -0.1071943   0.1288359   0.0148251  -0.0320635  -0.0195105   0.0219228   0.3599218   0.1945208  11.8039083  17.0499884  -0.1401560   6.4313642  -0.1126533   0.1319880   0.0247318  -0.0311868  -0.0375786   0.0223762   0.3572685   0.1942760 -11.1283184  -8.5668716  -0.5160141  -0.5197001  -0.5368409   0.0252730   0.1840867   0.0007622   0.3238811   0.1153705   0.0172843   0.0131806   1.0757252   0.5335726   0.1403675   0.1885522  -0.0486032   0.0042775  -0.0640859   0.0003444  -0.0977450   0.0088006   0.0040179   0.0029333
     14.00   6.7865750   6.6579448  13.2589016  -0.0978435   6.5862744  -0.1153679   0.1212268   0.0147092  -0.0319481  -0.0166291   0.0250215   0.3541657   0.1907160  11.8885730  17.1627897  -0.1441366   6.4665642  -0.1246449   0.1243649   0.0244972  -0.0311870  -0.0328155   0.0265684   0.3518254   0.1905621 -11.4424340  -8.7437956  -0.4975405  -0.4875199  -0.5243229   0.0239669   0.1755719   0.0003725   0.3183302   0.1132364   0.0176619   0.0129436   1.1158089   0.5378076   0.1418861   0.1917486  -0.0473831   0.0040981  -0.0611398   0.0002146  -0.0949420   0.0087186   0.0040785   0.0029005
     14.50   6.8137787   6.6917359  13.3245645  -0.0986048   6.6161123  -0.1223436   0.1141058   0.0145789  -0.0317599  -0.0139183   0.0277857   0.3483041   0.1869937  11.9607472  17.2585874  -0.1471525   6.4960965  -0.1350736   0.1172143   0.0242565  -0.0310982  -0.0283012   0.0303457   0.3462626   0.1869233 -11.7493172  -8.9166763  -0.4791935  -0.4561072  -0.5117612   0.0227184   0.1676981   0.0000514   0.3128819   0.1110375   0.0179704   0.0127038   1.1537212   0.5394861   0.1429553   0.1942359  -0.0462358   0.0039180  -0.0583551   0.0001129  -0.0922261   0.0086449   0.0041178   0.0028599
     15.00   6.8344484   6.7190008  13.3775689  -0.0989085   6.6400425  -0.1282437   0.1074399   0.0144358  -0.0315117  -0.0113717   0.0302407   0.3423649   0.1833535  12.0211661  17.3383529  -0.1493122   6.5202657  -0.1440882   0.1105056   0.0240092  -0.0309364  -0.0240288   0.0337367   0.3406078   0.1833598 -12.0491513  -9.0857678  -0.4610486  -0.4255404  -0.4992055   0.0215269   0.1603926  -0.0002149   0.3075272   0.1087862   0.0182152   0.0124620   1.1896922   0.5389425   0.1436432   0.1961113  -0.0451441   0.0037390  -0.0557322   0.0000324  -0.0896027   0.0085753   0.0041387   0.0028130
     15.50   6.8491428   6.7401598  13.4187128  -0.0988129   6.6584236  -0.1331787   0.1011982   0.0142819  -0.0312140  -0.0089828   0.0324097   0.3363729   0.1797946  12.0705244  17.4030066  -0.1507132   6.5393622  -0.1518240   0.1042103   0.0237550  -0.0307148  -0.0199908   0.0367684   0.3348851   0.1798713 -12.3420971  -9.2512756  -0.4431656  -0.3958767  -0.4866978   0.0203912   0.1535935  -0.0004369   0.3022589   0.1064932   0.0184012   0.0122193   1.2239271   0.5364705   0.1440073   0.1974578  -0.0440943   0.0035626  -0.0532671  -0.0000318  -0.0870745   0.0085069   0.0041438   0.0027612
     16.00   6.8582578   6.7556072  13.4487452  -0.0983699   6.6715937  -0.1372485   0.0953518   0.0141185  -0.0308758  -0.0067448   0.0343150   0.3303494   0.1763160  12.1094784  17.4534203  -0.1514429   6.5536631  -0.1584041   0.0983017   0.0234942  -0.0304437  -0.0161795   0.0394665   0.3291161   0.1764573 -12.6282975  -9.4133662  -0.4255921  -0.3671559  -0.4742734   0.0193099   0.1472480  -0.0006227   0.2970710   0.1041680   0.0185334   0.0119762   1.2566082   0.5323281   0.1440962   0.1983461  -0.0430763   0.0033900  -0.0509535  -0.0000833  -0.0846419   0.0084372   0.0041351   0.0027057
