# Zeldovich correlation function.
# Using f=0.993 and P(k) from pklin_z502.txt
# Density functions smoothed with tophat R=0
# r[Mpc/h]     r^2.xiL       xir:1      xir:b1      xir:b2    xir:b1^2   xir:b1.b2    xir:b2^2    xir:Aeft     xir:n2L      xir:bs   xir:b1.bs   xir:b2.bs    xir:bs^2       xi0:1      xi0:b1      xi0:b2    xi0:b1^2   xi0:b1.b2    xi0:b2^2    xi0:Aeft     xi0:n2L      xi0:bs   xi0:b1.bs   xi0:b2.bs    xi0:bs^2       xi2:1      xi2:b1      xi2:b2    xi2:b1^2   xi2:b1.b2    xi2:b2^2    xi2:Aeft     xi2:n2L      xi2:bs   xi2:b1.bs   xi2:b2.bs    xi2:bs^2       xi4:1      xi4:b1      xi4:b2    xi4:b1^2   xi4:b1.b2    xi4:b2^2    xi4:Aeft     xi4:n2L      xi4:bs   xi4:b1.bs   xi4:b2.bs    xi4:bs^2
      0.00   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000
      0.50   0.1063418   0.1252664   0.2757588   0.0360209   0.1628886   0.0647415   0.0234314  -0.0270303   0.0205105  -0.0034357  -0.0090250   0.0055572   0.0099393   0.2438973   0.4068973   0.0566643   0.1969988   0.0851598   0.0238598  -0.1610356   0.0236463  -0.0088078  -0.0120542   0.0059538   0.0102192  -0.0651366  -0.0609437   0.0041440  -0.0087496  -0.0109935  -0.0000089   0.9251230  -0.0033923   0.0157221   0.0016260  -0.0004205  -0.0001378  -0.0053435  -0.0037424   0.0055328   0.0028555  -0.0013619  -0.0004847   0.2707955  -0.0003643  -0.0014263   0.0001697  -0.0001229  -0.0002079
      1.00   0.2474823   0.2640886   0.5558541   0.0376920   0.3056176   0.0736836   0.0304301  -0.0205068   0.0553877  -0.0054046  -0.0119049   0.0102068   0.0138838   0.5082217   0.7954447   0.0657829   0.3481448   0.0967141   0.0303411  -0.0364945   0.0566100  -0.0108061  -0.0157538   0.0105115   0.0139613  -0.2410858  -0.2770056  -0.0448713  -0.0823055  -0.0487147  -0.0013137   0.8639885  -0.0102526   0.0234809   0.0071276  -0.0011818  -0.0008416   0.0033875  -0.0041710  -0.0000493  -0.0024979  -0.0048838  -0.0004366  -0.0304764  -0.0004450  -0.0083675   0.0005523  -0.0001199  -0.0001894
      1.50   0.3879865   0.3997830   0.8261829   0.0349542   0.4402031   0.0722621   0.0329220  -0.0139920   0.0852653  -0.0066423  -0.0129038   0.0139755   0.0160112   0.7540739   1.1455564   0.0607374   0.4779396   0.0937921   0.0325898  -0.0128566   0.0823624  -0.0122396  -0.0168074   0.0141369   0.0159620  -0.4161027  -0.4619457  -0.0782851  -0.1282212  -0.0665947  -0.0011393   0.6243189  -0.0124736   0.0249828   0.0102235  -0.0014252  -0.0008693   0.0351658   0.0283785   0.0055493   0.0069408  -0.0016726  -0.0000403  -0.1832286  -0.0001779  -0.0124117   0.0000295   0.0000148  -0.0000073
      2.00   0.5212156   0.5280732   1.0804290   0.0307995   0.5654590   0.0669991   0.0333526  -0.0094739   0.0988580  -0.0073665  -0.0129489   0.0170176   0.0172154   0.9843277   1.4705273   0.0530536   0.5967568   0.0866553   0.0329526  -0.0072396   0.0933524  -0.0131872  -0.0167458   0.0170653   0.0171075  -0.5760042  -0.6058623  -0.0948784  -0.1501172  -0.0744247  -0.0006769   0.4616037  -0.0092972   0.0252908   0.0118692  -0.0014276  -0.0007195   0.0709600   0.0652624   0.0138319   0.0186326   0.0012812   0.0002132  -0.2033183  -0.0002337  -0.0136624  -0.0004718   0.0001244   0.0001173
      2.50   0.6452811   0.6477214   1.3169583   0.0263252   0.6813550   0.0603358   0.0327350  -0.0062930   0.0950492  -0.0077326  -0.0124702   0.0194763   0.0178850   1.1992258   1.7727244   0.0452288   0.7065410   0.0781064   0.0323444  -0.0045541   0.0896830  -0.0136829  -0.0160919   0.0194377   0.0177532  -0.7258899  -0.7252675  -0.1022896  -0.1591257  -0.0778929  -0.0002413   0.3606236  -0.0028241   0.0255063   0.0128166  -0.0013353  -0.0005467   0.1025984   0.0942579   0.0202117   0.0273300   0.0028311   0.0003400  -0.1816731  -0.0004184  -0.0136465  -0.0007515   0.0001937   0.0001843
      3.00   0.7599112   0.7585228   1.5357267   0.0219830   0.7882356   0.0533428   0.0315677  -0.0039583   0.0794419  -0.0078472  -0.0116887   0.0214537   0.0182222   1.3988258   2.0528449   0.0378468   0.8079072   0.0692680   0.0312185  -0.0024535   0.0761558  -0.0138234  -0.0150993   0.0213537   0.0180843  -0.8700254  -0.8311158  -0.1050720  -0.1614901  -0.0792890   0.0001067   0.2950872   0.0040079   0.0257660   0.0133969  -0.0012028  -0.0003908   0.1289728   0.1144308   0.0242256   0.0328172   0.0033766   0.0003947  -0.1536219  -0.0003935  -0.0131819  -0.0008614   0.0002321   0.0002168
      3.50   0.8652291   0.8606965   1.7373633   0.0179621   0.8865882   0.0465227   0.0301198  -0.0021711   0.0593305  -0.0077851  -0.0107596   0.0230317   0.0183434   1.5835268   2.3117463   0.0310793   0.9013560   0.0606714   0.0298231  -0.0006481   0.0585914  -0.0137010  -0.0139292   0.0228915   0.0182084  -1.0105617  -0.9290075  -0.1053986  -0.1602256  -0.0795574   0.0003685   0.2496684   0.0089682   0.0260461   0.0137702  -0.0010555  -0.0002596   0.1510287   0.1277967   0.0265040   0.0360215   0.0033682   0.0004112  -0.1288848  -0.0000623  -0.0125987  -0.0008738   0.0002530   0.0002302
      4.00   0.9617051   0.9546558   1.9227594   0.0143286   0.9769443   0.0401086   0.0285448  -0.0008114   0.0402567  -0.0075993  -0.0097705   0.0242842   0.0183201   1.7539806   2.5505056   0.0249737   0.9873919   0.0525727   0.0283017   0.0008705   0.0414527  -0.0133887  -0.0126806   0.0241171   0.0181926  -1.1484630  -1.0217532  -0.1043103  -0.1568373  -0.0791345   0.0005586   0.2163671   0.0112310   0.0263151   0.0140056  -0.0009099  -0.0001520   0.1698951   0.1363766   0.0276771   0.0377759   0.0030881   0.0004079  -0.1089363   0.0004345  -0.0120151  -0.0008307   0.0002649   0.0002331
      4.50   1.0499016   1.0408805   2.0929032   0.0110955   1.0598402   0.0341993   0.0269325   0.0002569   0.0249623  -0.0073278  -0.0087638   0.0252686   0.0181985   1.9109559   2.7702966   0.0195253   1.0665111   0.0450850   0.0267398   0.0021372   0.0271237  -0.0129413  -0.0114100   0.0250835   0.0180807  -1.2841262  -1.1108449  -0.1023510  -0.1521480  -0.0782519   0.0006922   0.1908272   0.0111567   0.0265529   0.0141339  -0.0007729  -0.0000646   0.1864518   0.1416473   0.0281769   0.0386365   0.0026919   0.0003941  -0.0931518   0.0008830  -0.0114692  -0.0007584   0.0002707   0.0002303
