# Matter power spectra at z=2.020000.
# D(z)=0.418881, f(z)=0.956030.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     7.82169e+01     7.82169e+01
    1.04729e-04     8.18006e+01     8.18007e+01
    1.09682e-04     8.55480e+01     8.55482e+01
    1.14868e-04     8.94671e+01     8.94673e+01
    1.20301e-04     9.35658e+01     9.35660e+01
    1.25990e-04     9.78521e+01     9.78522e+01
    1.31948e-04     1.02334e+02     1.02334e+02
    1.38187e-04     1.07021e+02     1.07020e+02
    1.44722e-04     1.11922e+02     1.11921e+02
    1.51566e-04     1.17047e+02     1.17046e+02
    1.58734e-04     1.22407e+02     1.22405e+02
    1.66240e-04     1.28012e+02     1.28009e+02
    1.74102e-04     1.33871e+02     1.33869e+02
    1.82335e-04     1.39999e+02     1.39996e+02
    1.90957e-04     1.46406e+02     1.46403e+02
    1.99988e-04     1.53107e+02     1.53103e+02
    2.09445e-04     1.60111e+02     1.60108e+02
    2.19350e-04     1.67435e+02     1.67431e+02
    2.29723e-04     1.75092e+02     1.75088e+02
    2.40586e-04     1.83099e+02     1.83094e+02
    2.51964e-04     1.91470e+02     1.91464e+02
    2.63879e-04     2.00220e+02     2.00214e+02
    2.76358e-04     2.09368e+02     2.09361e+02
    2.89427e-04     2.18930e+02     2.18923e+02
    3.03114e-04     2.28927e+02     2.28919e+02
    3.17448e-04     2.39377e+02     2.39368e+02
    3.32460e-04     2.50298e+02     2.50288e+02
    3.48182e-04     2.61712e+02     2.61701e+02
    3.64647e-04     2.73641e+02     2.73629e+02
    3.81891e-04     2.86108e+02     2.86095e+02
    3.99951e-04     2.99136e+02     2.99122e+02
    4.18865e-04     3.12748e+02     3.12733e+02
    4.38673e-04     3.26969e+02     3.26952e+02
    4.59417e-04     3.41826e+02     3.41808e+02
    4.81143e-04     3.57346e+02     3.57326e+02
    5.03896e-04     3.73558e+02     3.73536e+02
    5.27725e-04     3.90488e+02     3.90464e+02
    5.52681e-04     4.08166e+02     4.08140e+02
    5.78818e-04     4.26625e+02     4.26596e+02
    6.06190e-04     4.45896e+02     4.45865e+02
    6.34857e-04     4.66012e+02     4.65978e+02
    6.64879e-04     4.87006e+02     4.86969e+02
    6.96321e-04     5.08911e+02     5.08871e+02
    7.29250e-04     5.31765e+02     5.31721e+02
    7.63736e-04     5.55605e+02     5.55556e+02
    7.99853e-04     5.80467e+02     5.80414e+02
    8.37678e-04     6.06389e+02     6.06331e+02
    8.77291e-04     6.33409e+02     6.33346e+02
    9.18778e-04     6.61570e+02     6.61500e+02
    9.62227e-04     6.90911e+02     6.90835e+02
    1.00773e-03     7.21474e+02     7.21391e+02
    1.05539e-03     7.53301e+02     7.53210e+02
    1.10530e-03     7.86434e+02     7.86334e+02
    1.15756e-03     8.20915e+02     8.20807e+02
    1.21231e-03     8.56789e+02     8.56670e+02
    1.26964e-03     8.94099e+02     8.93969e+02
    1.32968e-03     9.32887e+02     9.32745e+02
    1.39256e-03     9.73198e+02     9.73043e+02
    1.45841e-03     1.01507e+03     1.01490e+03
    1.52738e-03     1.05856e+03     1.05837e+03
    1.59961e-03     1.10369e+03     1.10349e+03
    1.67525e-03     1.15052e+03     1.15030e+03
    1.75447e-03     1.19908e+03     1.19884e+03
    1.83744e-03     1.24941e+03     1.24915e+03
    1.92434e-03     1.30154e+03     1.30125e+03
    2.01534e-03     1.35550e+03     1.35519e+03
    2.11064e-03     1.41134e+03     1.41100e+03
    2.21045e-03     1.46907e+03     1.46870e+03
    2.31499e-03     1.52871e+03     1.52831e+03
    2.42446e-03     1.59028e+03     1.58984e+03
    2.53911e-03     1.65380e+03     1.65332e+03
    2.65919e-03     1.71929e+03     1.71877e+03
    2.78494e-03     1.78673e+03     1.78617e+03
    2.91664e-03     1.85613e+03     1.85552e+03
    3.05457e-03     1.92747e+03     1.92680e+03
    3.19902e-03     2.00073e+03     2.00000e+03
    3.35030e-03     2.07590e+03     2.07511e+03
    3.50873e-03     2.15293e+03     2.15208e+03
    3.67466e-03     2.23177e+03     2.23085e+03
    3.84844e-03     2.31236e+03     2.31136e+03
    4.03043e-03     2.39463e+03     2.39354e+03
    4.22103e-03     2.47851e+03     2.47734e+03
    4.42064e-03     2.56391e+03     2.56264e+03
    4.62969e-03     2.65069e+03     2.64932e+03
    4.84863e-03     2.73872e+03     2.73723e+03
    5.07792e-03     2.82787e+03     2.82626e+03
    5.31805e-03     2.91799e+03     2.91626e+03
    5.56954e-03     3.00891e+03     3.00704e+03
    5.83292e-03     3.10040e+03     3.09839e+03
    6.10876e-03     3.19223e+03     3.19007e+03
    6.39764e-03     3.28419e+03     3.28186e+03
    6.70019e-03     3.37604e+03     3.37353e+03
    7.01704e-03     3.46748e+03     3.46479e+03
    7.34887e-03     3.55816e+03     3.55528e+03
    7.69640e-03     3.64774e+03     3.64465e+03
    8.06036e-03     3.73587e+03     3.73257e+03
    8.44153e-03     3.82220e+03     3.81866e+03
    8.84073e-03     3.90628e+03     3.90251e+03
    9.25881e-03     3.98766e+03     3.98364e+03
    9.69666e-03     4.06586e+03     4.06158e+03
    1.01552e-02     4.14040e+03     4.13585e+03
    1.06354e-02     4.21080e+03     4.20597e+03
    1.11384e-02     4.27650e+03     4.27138e+03
    1.16651e-02     4.33691e+03     4.33149e+03
    1.22168e-02     4.39142e+03     4.38570e+03
    1.27945e-02     4.43943e+03     4.43340e+03
    1.33996e-02     4.48034e+03     4.47400e+03
    1.40332e-02     4.51355e+03     4.50689e+03
    1.46968e-02     4.53842e+03     4.53145e+03
    1.53919e-02     4.55435e+03     4.54707e+03
    1.61197e-02     4.56071e+03     4.55313e+03
    1.68820e-02     4.55691e+03     4.54904e+03
    1.76804e-02     4.54251e+03     4.53436e+03
    1.85165e-02     4.51718e+03     4.50877e+03
    1.93921e-02     4.48055e+03     4.47191e+03
    2.03092e-02     4.43229e+03     4.42344e+03
    2.12696e-02     4.37211e+03     4.36309e+03
    2.22754e-02     4.30021e+03     4.29106e+03
    2.33288e-02     4.21704e+03     4.20780e+03
    2.44320e-02     4.12305e+03     4.11378e+03
    2.55874e-02     4.01868e+03     4.00943e+03
    2.67975e-02     3.90448e+03     3.89531e+03
    2.80647e-02     3.78175e+03     3.77273e+03
    2.93919e-02     3.65214e+03     3.64333e+03
    3.07818e-02     3.51730e+03     3.50876e+03
    3.22375e-02     3.37888e+03     3.37069e+03
    3.37620e-02     3.23858e+03     3.23080e+03
    3.53586e-02     3.09834e+03     3.09101e+03
    3.70307e-02     2.96020e+03     2.95339e+03
    3.87819e-02     2.82622e+03     2.81995e+03
    4.06159e-02     2.69845e+03     2.69275e+03
    4.25366e-02     2.57863e+03     2.57352e+03
    4.45481e-02     2.46769e+03     2.46317e+03
    4.66548e-02     2.36638e+03     2.36244e+03
    4.88611e-02     2.27531e+03     2.27193e+03
    5.11717e-02     2.19396e+03     2.19110e+03
    5.35916e-02     2.12123e+03     2.11886e+03
    5.61260e-02     2.05526e+03     2.05335e+03
    5.87802e-02     1.99352e+03     1.99205e+03
    6.15599e-02     1.93282e+03     1.93180e+03
    6.44710e-02     1.86968e+03     1.86914e+03
    6.75198e-02     1.80065e+03     1.80068e+03
    7.07128e-02     1.72286e+03     1.72358e+03
    7.40568e-02     1.63463e+03     1.63620e+03
    7.75590e-02     1.53598e+03     1.53858e+03
    8.12267e-02     1.42899e+03     1.43280e+03
    8.50679e-02     1.31770e+03     1.32286e+03
    8.90908e-02     1.20761e+03     1.21419e+03
    9.33039e-02     1.10473e+03     1.11270e+03
    9.77162e-02     1.01435e+03     1.02360e+03
    1.02337e-01     9.39954e+02     9.50265e+02
    1.07177e-01     8.82319e+02     8.93441e+02
    1.12245e-01     8.39134e+02     8.50815e+02
    1.17553e-01     8.05139e+02     8.17196e+02
    1.23112e-01     7.73053e+02     7.85428e+02
    1.28934e-01     7.35522e+02     7.48319e+02
    1.35031e-01     6.87873e+02     7.01325e+02
    1.41417e-01     6.30398e+02     6.44768e+02
    1.48105e-01     5.68622e+02     5.84069e+02
    1.55108e-01     5.10843e+02     5.27325e+02
    1.62444e-01     4.64157e+02     4.81435e+02
    1.70125e-01     4.30982e+02     4.48715e+02
    1.78171e-01     4.07945e+02     4.25849e+02
    1.86596e-01     3.87723e+02     4.05708e+02
    1.95420e-01     3.62669e+02     3.80886e+02
    2.04662e-01     3.30552e+02     3.49255e+02
    2.14340e-01     2.96403e+02     3.15698e+02
    2.24476e-01     2.67179e+02     2.86936e+02
    2.35092e-01     2.46146e+02     2.66091e+02
    2.46209e-01     2.30625e+02     2.50562e+02
    2.57852e-01     2.14597e+02     2.34555e+02
    2.70046e-01     1.95270e+02     2.15403e+02
    2.82817e-01     1.75549e+02     1.95903e+02
    2.96191e-01     1.59766e+02     1.80193e+02
    3.10198e-01     1.47678e+02     1.68027e+02
    3.24867e-01     1.35874e+02     1.56146e+02
    3.40230e-01     1.23054e+02     1.43320e+02
    3.56319e-01     1.11359e+02     1.31583e+02
    3.73170e-01     1.01900e+02     1.21983e+02
    3.90817e-01     9.31245e+01     1.13046e+02
    4.09298e-01     8.43482e+01     1.04126e+02
    4.28654e-01     7.65227e+01     9.61192e+01
    4.48925e-01     6.96954e+01     8.90668e+01
    4.70155e-01     6.32130e+01     8.23546e+01
    4.92388e-01     5.72403e+01     7.61359e+01
    5.15673e-01     5.19504e+01     7.05699e+01
    5.40059e-01     4.70329e+01     6.53665e+01
    5.65599e-01     4.25605e+01     6.05920e+01
    5.92346e-01     3.85176e+01     5.62304e+01
    6.20358e-01     3.48126e+01     5.21961e+01
    6.49694e-01     3.14621e+01     4.85030e+01
    6.80418e-01     2.84096e+01     4.50983e+01
    7.12595e-01     2.56404e+01     4.19675e+01
    7.46294e-01     2.31322e+01     3.90893e+01
    7.81586e-01     2.08569e+01     3.64372e+01
    8.18547e-01     1.87950e+01     3.39927e+01
    8.57256e-01     1.69286e+01     3.17390e+01
    8.97795e-01     1.52405e+01     2.96597e+01
    9.40252e-01     1.37139e+01     2.77390e+01
    9.84716e-01     1.23345e+01     2.59636e+01
    1.03128e+00     1.10891e+01     2.43212e+01
    1.08005e+00     9.96455e+00     2.27994e+01
    1.13113e+00     8.94959e+00     2.13878e+01
    1.18462e+00     8.03491e+00     2.00778e+01
    1.24064e+00     7.21130e+00     1.88607e+01
    1.29931e+00     6.46954e+00     1.77282e+01
    1.36075e+00     5.80099e+00     1.66721e+01
    1.42510e+00     5.19926e+00     1.56867e+01
    1.49250e+00     4.65851e+00     1.47666e+01
    1.56308e+00     4.17288e+00     1.39063e+01
    1.63699e+00     3.73653e+00     1.31006e+01
    1.71441e+00     3.34407e+00     1.23445e+01
    1.79548e+00     2.99161e+00     1.16344e+01
    1.88039e+00     2.67559e+00     1.09672e+01
    1.96931e+00     2.39241e+00     1.03394e+01
    2.06244e+00     2.13851e+00     9.74795e+00
    2.15997e+00     1.91061e+00     9.18975e+00
    2.26212e+00     1.70637e+00     8.66267e+00
    2.36909e+00     1.52361e+00     8.16473e+00
    2.48113e+00     1.36019e+00     7.69395e+00
    2.59846e+00     1.21394e+00     7.24834e+00
    2.72134e+00     1.08289e+00     6.82611e+00
    2.85003e+00     9.65653e-01     6.42593e+00
    2.98481e+00     8.60945e-01     6.04662e+00
    3.12596e+00     7.67481e-01     5.68696e+00
    3.27379e+00     6.83980e-01     5.34574e+00
    3.42860e+00     6.09280e-01     5.02186e+00
    3.59074e+00     5.42565e-01     4.71451e+00
    3.76055e+00     4.83081e-01     4.42293e+00
    3.93838e+00     4.30073e-01     4.14634e+00
    4.12463e+00     3.82788e-01     3.88400e+00
    4.31968e+00     3.40547e-01     3.63519e+00
    4.52396e+00     3.02877e-01     3.39937e+00
    4.73789e+00     2.69340e-01     3.17600e+00
    4.96195e+00     2.39499e-01     2.96457e+00
    5.19660e+00     2.12916e-01     2.76454e+00
    5.44234e+00     1.89198e-01     2.57543e+00
    5.69971e+00     1.68076e-01     2.39681e+00
    5.96925e+00     1.49297e-01     2.22826e+00
    6.25153e+00     1.32610e-01     2.06938e+00
    6.54717e+00     1.17763e-01     1.91974e+00
    6.85678e+00     1.04533e-01     1.77897e+00
    7.18104e+00     9.27653e-02     1.64668e+00
    7.52063e+00     8.23164e-02     1.52252e+00
    7.87628e+00     7.30428e-02     1.40613e+00
    8.24875e+00     6.48010e-02     1.29716e+00
    8.63883e+00     5.74642e-02     1.19526e+00
    9.04736e+00     5.09458e-02     1.10010e+00
    9.47521e+00     4.51644e-02     1.01136e+00
