,mlim,BX,BM,u,g,r
0,22.5,0.0,0.0,81.0,12.0,0.0
1,22.6,0.0,0.0,95.0,17.0,0.0
2,22.700000000000003,0.0,0.0,108.0,18.0,0.0
3,22.800000000000004,0.0,0.0,118.0,21.0,0.0
4,22.900000000000006,0.0,0.0,132.0,24.0,0.0
5,23.000000000000007,0.0,0.0,153.0,29.0,0.0
6,23.10000000000001,0.0,0.0,170.0,30.0,0.0
7,23.20000000000001,0.0,0.0,187.0,43.0,0.0
8,23.30000000000001,0.0,0.0,207.0,52.0,0.0
9,23.400000000000013,0.0,0.0,229.0,59.0,0.0
10,23.500000000000014,0.0,0.0,253.0,67.0,0.0
11,23.600000000000016,128.0,34.0,287.0,73.0,0.0
12,23.700000000000017,258.0,74.0,310.0,78.0,0.0
13,23.80000000000002,387.0,104.0,331.0,91.0,0.0
14,23.90000000000002,539.0,163.0,368.0,98.0,0.0
15,24.00000000000002,680.0,229.0,398.0,108.0,0.0
16,24.100000000000023,823.0,282.0,437.0,123.0,0.0
17,24.200000000000024,959.0,342.0,481.0,136.0,0.0
18,24.300000000000026,1106.0,414.0,530.0,150.0,0.0
19,24.400000000000027,1266.0,498.0,574.0,167.0,0.0
20,24.50000000000003,1443.0,587.0,633.0,178.0,0.0
21,24.60000000000003,1599.0,692.0,683.0,203.0,0.0
22,24.70000000000003,1792.0,774.0,733.0,220.0,0.0
23,24.800000000000033,1968.0,871.0,809.0,240.0,0.0
24,24.900000000000034,2160.0,945.0,872.0,257.0,0.0
25,25.000000000000036,2325.0,1036.0,931.0,279.0,0.0
26,25.100000000000037,2512.0,1149.0,989.0,303.0,0.0
27,25.20000000000004,2697.0,1268.0,1060.0,339.0,0.0
28,25.30000000000004,2890.0,1383.0,1145.0,365.0,0.0
29,25.40000000000004,3052.0,1497.0,1242.0,406.0,0.0
30,25.500000000000043,3239.0,1628.0,1337.0,432.0,0.0
31,25.600000000000044,3446.0,1723.0,1418.0,468.0,0.0
32,25.700000000000045,3648.0,1835.0,1517.0,512.0,0.0
33,25.800000000000047,3870.0,1970.0,1630.0,559.0,0.0
34,25.90000000000005,4120.0,2109.0,1751.0,606.0,0.0
35,26.00000000000005,4363.0,2255.0,1894.0,659.0,0.0
36,26.10000000000005,4627.0,2356.0,2044.0,731.0,0.0
37,26.200000000000053,4911.0,2431.0,2202.0,800.0,0.0
38,26.300000000000054,5206.0,2498.0,2364.0,877.0,0.0
39,26.400000000000055,5580.0,2524.0,2533.0,958.0,0.0
40,26.500000000000057,5937.0,2552.0,2701.0,1060.0,0.0
41,26.60000000000006,6368.0,2578.0,2920.0,1161.0,0.0
42,26.70000000000006,6830.0,2604.0,3127.0,1287.0,0.0
43,26.80000000000006,7339.0,2624.0,3361.0,1425.0,0.0
44,26.900000000000063,7882.0,2632.0,3594.0,1587.0,0.0
45,27.000000000000064,8454.0,2642.0,3848.0,1756.0,0.0
46,27.100000000000065,9105.0,2653.0,4148.0,1943.0,0.0
47,27.200000000000067,9837.0,2661.0,4437.0,2156.0,0.0
48,27.300000000000068,10610.0,2670.0,4756.0,2399.0,0.0
49,27.40000000000007,11424.0,2677.0,5111.0,2652.0,0.0
50,27.50000000000007,12306.0,2680.0,5487.0,2936.0,0.0
51,27.600000000000072,13218.0,2685.0,5928.0,3221.0,0.0
52,27.700000000000074,14081.0,2687.0,6408.0,3568.0,0.0
53,27.800000000000075,14946.0,2688.0,6893.0,3917.0,0.0
54,27.900000000000077,15691.0,2688.0,7329.0,4276.0,0.0
55,28.000000000000078,16307.0,2688.0,7695.0,4667.0,0.0
56,28.10000000000008,16767.0,2688.0,8060.0,5090.0,0.0
57,28.20000000000008,17104.0,2688.0,8394.0,5521.0,0.0
58,28.300000000000082,17291.0,2688.0,8709.0,5921.0,0.0
59,28.400000000000084,17390.0,2688.0,9059.0,6307.0,0.0
60,28.500000000000085,17417.0,2688.0,9429.0,6655.0,0.0
61,28.600000000000087,17429.0,2688.0,9825.0,6964.0,0.0
62,28.700000000000088,17432.0,2688.0,10188.0,7290.0,0.0
63,28.80000000000009,17432.0,2688.0,10573.0,7607.0,0.0
64,28.90000000000009,17432.0,2688.0,10976.0,7923.0,0.0
65,29.000000000000092,17432.0,2688.0,11397.0,8281.0,0.0
66,29.100000000000094,17432.0,2688.0,11808.0,8595.0,0.0
67,29.200000000000095,17432.0,2688.0,12192.0,8914.0,0.0
68,29.300000000000097,17432.0,2688.0,12582.0,9234.0,0.0
69,29.400000000000098,17432.0,2688.0,12988.0,9564.0,0.0
70,29.5000000000001,17432.0,2688.0,13372.0,9879.0,0.0
71,29.6000000000001,17432.0,2688.0,13785.0,10211.0,0.0
72,29.700000000000102,17432.0,2688.0,14173.0,10522.0,0.0
73,29.800000000000104,17432.0,2688.0,14517.0,10832.0,0.0
74,29.900000000000105,17432.0,2688.0,14866.0,11144.0,0.0
