# Matter power spectra at z=2.100000.
# D(z)=0.408524, f(z)=0.959105.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     7.43878e+01     7.43878e+01
    1.04729e-04     7.77961e+01     7.77961e+01
    1.09682e-04     8.13601e+01     8.13602e+01
    1.14868e-04     8.50872e+01     8.50874e+01
    1.20301e-04     8.89853e+01     8.89855e+01
    1.25990e-04     9.30618e+01     9.30620e+01
    1.31948e-04     9.73245e+01     9.73244e+01
    1.38187e-04     1.01782e+02     1.01781e+02
    1.44722e-04     1.06443e+02     1.06442e+02
    1.51566e-04     1.11318e+02     1.11316e+02
    1.58734e-04     1.16415e+02     1.16413e+02
    1.66240e-04     1.21745e+02     1.21743e+02
    1.74102e-04     1.27318e+02     1.27316e+02
    1.82335e-04     1.33146e+02     1.33143e+02
    1.90957e-04     1.39240e+02     1.39237e+02
    1.99988e-04     1.45612e+02     1.45609e+02
    2.09445e-04     1.52274e+02     1.52270e+02
    2.19350e-04     1.59239e+02     1.59235e+02
    2.29723e-04     1.66522e+02     1.66518e+02
    2.40586e-04     1.74136e+02     1.74132e+02
    2.51964e-04     1.82098e+02     1.82093e+02
    2.63879e-04     1.90420e+02     1.90415e+02
    2.76358e-04     1.99120e+02     1.99114e+02
    2.89427e-04     2.08214e+02     2.08208e+02
    3.03114e-04     2.17722e+02     2.17715e+02
    3.17448e-04     2.27661e+02     2.27653e+02
    3.32460e-04     2.38048e+02     2.38039e+02
    3.48182e-04     2.48903e+02     2.48894e+02
    3.64647e-04     2.60249e+02     2.60238e+02
    3.81891e-04     2.72106e+02     2.72095e+02
    3.99951e-04     2.84497e+02     2.84485e+02
    4.18865e-04     2.97443e+02     2.97430e+02
    4.38673e-04     3.10969e+02     3.10954e+02
    4.59417e-04     3.25099e+02     3.25083e+02
    4.81143e-04     3.39861e+02     3.39844e+02
    5.03896e-04     3.55280e+02     3.55261e+02
    5.27725e-04     3.71383e+02     3.71362e+02
    5.52681e-04     3.88197e+02     3.88174e+02
    5.78818e-04     4.05754e+02     4.05729e+02
    6.06190e-04     4.24084e+02     4.24056e+02
    6.34857e-04     4.43218e+02     4.43187e+02
    6.64879e-04     4.63186e+02     4.63152e+02
    6.96321e-04     4.84021e+02     4.83985e+02
    7.29250e-04     5.05759e+02     5.05719e+02
    7.63736e-04     5.28435e+02     5.28391e+02
